UniqueName,SuperClass,TextDefinition
UniqueName,"SuperClass1, SuperClass2, SuperClass3, SuperClass4, SuperClass5",TextDefinition
10-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <10-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 10 cylinders
12-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <12-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 12 cylinders
16-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <16-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 16 cylinders
18-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <18-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 18 cylinders
1-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <1-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 1 cylinder
20-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <20-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 20 cylinders
2-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <2-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 2 cylinders
2-STROKE ENGINE,RECIPROCATING PISTON ENGINE,"A <2-STROKE ENGINE> is a <RECIPROCATING PISTON ENGINE> that uses a 2-stroke working cycle. The charge being introduced by a blower or by other means, compressed, ignited, expanded and exhausted through ports in the cylinder wall (uncovered by the piston), before and during the entry of a new fresh charge. All 4 are achieved in one revolution"
2-STROKE TRUNK ENGINE,2-STROKE ENGINE,A <2-STROKE TRUNK ENGINE> is a <2-STROKE ENGINE> that is a diesel engine were the piston is direct coupled to the crank through the connecting rod. The connecting rod is directly connected to the piston by a piston pin. The combustion air is compressed by the descending piston in a separate crankcase compartment for each cylinder and enters the cylinder through the intake ports as they are uncovered by the piston.
3-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <3-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 3 cylinders
4-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <4-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 4 cylinders
4-CYLINDER ENGINE WITH FIRING ORDER 1-3-4-2,4-CYLINDER ENGINE,A <4-CYLINDER ENGINE WITH FIRING ORDER 1-3-4-2> is a <4-CYLINDER ENGINE> that is designed to have a firing order 1-3-4-2
4-STROKE ENGINE,RECIPROCATING PISTON ENGINE,"A <4-STROKE ENGINE> is a <RECIPROCATING PISTON ENGINE> that uses a 4-stroke working cycle; suction, compression, explosion, expansion and exhaust, occupying 2 revolutions of the crankshaft"
4-STROKE TRUNK ENGINE,4-STROKE ENGINE,A <4-STROKE TRUNK ENGINE> is a <4-STROKE ENGINE> that is a diesel engine were the piston is direct coupled to the crank through the connecting rod. The connecting rod is directly connected to the piston by a piston pin. The combustion air enters the cylinder through vales on top of the cylinder
5-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <5-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 5 cylinders
6-CYLINDER ENGINE,RECIPROCATING PISTON ENGINE,A <6-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 6 cylinders
6-CYLINDER ENGINE WITH FIRING ORDER 1-2-4-6-5-3,6-CYLINDER ENGINE,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-2-4-6-5-3> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-2-4-6-5-3
6-CYLINDER ENGINE WITH FIRING ORDER 1-3-5-6-4-2,6-CYLINDER ENGINE,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-3-5-6-4-2> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-3-5-6-4-2
6-CYLINDER ENGINE WITH FIRING ORDER 1-5-3-6-4-2,6-CYLINDER ENGINE,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-5-3-6-4-2> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-5-3-6-4-2
