uniqueName,superclasses,subclasses,description
ABSORBER,,"SOUND ATTENUATOR, SHOCK ABSORBER, LIQUID ABSORBER, ACOUSTIC NOISE REDUCTION PLATE",An &lt;ABSORBER&gt; is a &lt;FunctionalObject&gt; that has a capability of &lt;ABSORBING&gt;
ACOUSTIC NOISE REDUCTION PLATE,"SILENCER, ABSORBER",,An &lt;ACOUSTIC NOISE REDUCTION PLATE&gt; is an &lt;ARTEFACT&gt; and an &lt;ABSORBER&gt; and a &lt;SILENCER&gt; that is a building board designed to absorbe and reduce acoustic noise
LIQUID ABSORBER,ABSORBER,absorber column,A &lt;LIQUID ABSORBER&gt; is an &lt;ABSORBER&gt; that has a capability of removing components from a mixture by absorption in a liquid
absorber column,"LIQUID ABSORBER, process column",,A column in which a gas mixture is contacted with a liquid for the purpose of preferentially dissolving one or more components of the gas mixture and to provide a solution of them in the liquid
SHOCK ABSORBER,"ABSORBER, DAMPER","HYDRAULIC SHOCK ABSORBER, PNEUMATIC SHOCK ABSORBER",A &lt;SHOCK ABSORBER&gt; is an &lt;ABSORBER&gt; and a &lt;DAMPER&gt; that serves to absorb mechanical shock and to damp vibration
HYDRAULIC SHOCK ABSORBER,SHOCK ABSORBER,,A &lt;HYDRAULIC SHOCK ABSORBER&gt; is an &lt;ARTEFACT&gt; and a &lt;SHOCK ABSORBER&gt; that uses a cylinder filled with a hydraulic fluid
PNEUMATIC SHOCK ABSORBER,SHOCK ABSORBER,,A &lt;PNEUMATIC SHOCK ABSORBER&gt; is an &lt;ARTEFACT&gt; and a &lt;SHOCK ABSORBER&gt; that uses a cylinder filled with a gas
SOUND ATTENUATOR,"SILENCER, ABSORBER, ATTENUATOR",sound attenuator,A &lt;SOUND ATTENUATOR&gt; is an &lt;ARTEFACT&gt; and a &lt;ABSORBER&gt; and an &lt;ATTENUATOR&gt; and a &lt;SILENCER&gt; that is a chamber with sound absorbing material reducing airborne noise in a ventilation system
sound attenuator,"damper, SOUND ATTENUATOR",,A device decreasing noise in a HVAC system
ACCOMODATOR,,"PIPE EXPANSION ACCOMODATOR, ACCOMODATION CONTAINER",An &lt;ACCOMODATOR&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;ACCOMODATING&gt;
ACCOMODATION CONTAINER,ACCOMODATOR,ACCOMODATION CONTAINER NORSOK Z-015,An &lt;ACCOMODATION CONTAINER&gt; is a &lt;SERVICE CONTAINER&gt; and an &lt;ACCOMODATOR&gt; that is intended to be an &lt;ACCOMODATION&gt;
ACCOMODATION CONTAINER NORSOK Z-015,ACCOMODATION CONTAINER,,"An &lt;ACCOMODATION CONTAINER NORSOK Z-015&gt; is an &lt;ACCOMODATION CONTAINER&gt; and a &lt;CONTAINER NORSOK Z-015&gt; conforming to the requirements for accomodations containers defined in NORSOK Z-015, Section 4.2.1"
PIPE EXPANSION ACCOMODATOR,ACCOMODATOR,"SLIDING SLEEVE AND ANCHOR, PIPING BELLOWS UNIT",A &lt;PIPE EXPANSION ACCOMODATOR&gt; is an &lt;ACCOMODATOR&gt; capable of &lt;ACCOMODATING&gt; the movement in piping systems due to temperature changes and vibrations
PIPING BELLOWS UNIT,"PIPE EXPANSION ACCOMODATOR, COMPENSATOR","AXIAL PIPING BELLOWS UNIT, ARTICULATED BELLOWS UNIT",A &lt;PIPING BELLOWS UNIT&gt; is a &lt;BELLOWS UNIT&gt; and a &lt;COMPENSATOR&gt; and a &lt;PIPE EXPANSION ACCOMODATOR&gt;
SLIDING SLEEVE AND ANCHOR,PIPE EXPANSION ACCOMODATOR,,A &lt;SLIDING SLEEVE AND ANCHOR&gt; is an &lt;ARTEFACT&gt; and a &lt;PIPE EXPANSION ACCOMODATOR&gt; that consists of two pieces; one sliding inside the other. The outer is fixed to a support
ACCREDITOR,,ACCREDITATION BODY,An &lt;ACCREDITOR&gt; is a &lt;FunctionalObject&gt; that has the capability of &lt;ACCREDITING&gt;
ACCREDITATION BODY,"REGULATORY BODY, ACCREDITOR",,"An &lt;ACCREDITATION BODY&gt; is a &lt;REGULATORY BODY&gt; and an &lt;ACCREDITOR&gt; that checks certification bodies and, provided their certification assessment processes pass muster, accredits them i.e. grants them the authority to issue recognized certificates"
ACCUMULATOR,,"accumulator, ELECTRIC ACCUMULATOR, FLUID ACCUMULATOR",An &lt;ACCUMULATOR&gt; is a &lt;FunctionalObject&gt; that has a capability of &lt;ACCUMULATING&gt; matter and/or energy
ELECTRIC ACCUMULATOR,"ACCUMULATOR, ENERGY STORAGE","ELECTRIC BATTERY, ELECTRIC BATTERY BANK, ELECTRIC BATTERY CELL",An &lt;ELECTRIC ACCUMULATOR&gt; is an &lt;ACCUMULATOR&gt; and an &lt;ENERGY STORAGE&gt; that converts chemical energy into electrical energy by reversible chemical reactions and that may be recharged by passing a current through it in the direction opposite to that of its discharge
ELECTRIC BATTERY BANK,ELECTRIC ACCUMULATOR,,An &lt;ELECTRIC BATTERY BANK&gt; is an &lt;ARTEFACT&gt; and an &lt;ELECTRIC ACCUMULATOR&gt; that consisting of a number of electric batteries connected together to store and supply electrical energy
ELECTRIC BATTERY,ELECTRIC ACCUMULATOR,,An &lt;ELECTRIC BATTERY&gt; is an &lt;ARTEFACT&gt; and an &lt;ELECTRIC ACCUMULATOR&gt; that comprises one or more &lt;ELECTRIC BATTERY CELL&gt;s
ELECTRIC BATTERY CELL,ELECTRIC ACCUMULATOR,,"An &lt;ELECTRIC BATTERY CELL&gt; is an &lt;ARTEFACT&gt; and an &lt;ELECTRIC ACCUMULATOR&gt; and that is a single electrochemical system, consisting of positive and negative electrodes and an electrolyte to transport ions between them"
FLUID ACCUMULATOR,"ACCUMULATOR, FLUID CONTAINER",HYDRAULIC ACCUMULATOR,A &lt;FLUID ACCUMULATOR&gt; is an &lt;ACCUMULATOR&gt; and a &lt;FLUID CONTAINER&gt; that has a capability of of acting like a shock absorber in that it absorbs and/or accumulates pressure fluctuations in a device or a closed &lt;FLUID&gt; system
HYDRAULIC ACCUMULATOR,FLUID ACCUMULATOR,,"A &lt;HYDRAULIC ACCUMULATOR&gt; is a &lt;FLUID ACCUMULATOR&gt; intended to absorb and store hydraulic liquid to compensate for pressure fluctuations and to maintain operation, e.g. of an actuator, in case of failure of supply of the hydraulic liquid"
accumulator,ACCUMULATOR,,"A physical object for storing energy, and which after discharge may be recharged"
ACTUATOR,,"MANUAL ACTUATOR, CIRCUIT BREAKER TRIP MECHANISM, ACTUATOR WITH MANUAL RESET, FLANGE MOUNTED ACTUATOR, WINDING GEAR, LINEAR ACTUATOR, CONTROLLED ACTUATOR, WEIGHT ACTUATOR, PART TURN ACTUATOR, FULL-TURN ACTUATOR, RACK AND PINION ACTUATOR, ROTARY ACTUATOR, ON-OFF ACTUATOR, FIRE ALARM BUTTON",An &lt;ACTUATOR&gt; is a &lt;FunctionalObject&gt; that is capable of &lt;ACTUATING&gt;
ACTUATOR WITH MANUAL RESET,ACTUATOR,,An &lt;ACTUATOR WITH MANUAL RESET&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that has to be reset manually after having been in operation
CIRCUIT BREAKER TRIP MECHANISM,ACTUATOR,,A &lt;CIRCUIT BREAKER TRIP MECHANISM&gt; is an &lt;ARTEFACT&gt; and an &lt;ACTUATOR&gt; that trips a &lt;CIRCUIT BREAKER&gt;
CONTROLLED ACTUATOR,"FINAL CONTROL FUNCTION, ACTUATOR","MODULATING ACTUATOR, SINGLE ACTING ACTUATOR, FAIL CLOSE ACTUATOR, ONE CYLINDER ACTUATOR, PNEUMATIC ACTUATOR, FAIL OPEN ACTUATOR, RETURN ACTUATOR, HYDRAULIC ACTUATOR, DIGITAL ACTUATOR, STEPPING ACTUATOR, DIAPHRAGM ACTUATOR, DOUBLE ACTING ACTUATOR, MOTOR ACTUATOR, actuator, MAGNETIC ACTUATOR, CONTROLLED VALVE ACTUATOR, TWO CYLINDER ACTUATOR, ELECTRIC ACTUATOR, FAIL LOCKED ACTUATOR, PILOT ACTUATOR, PISTON ACTUATOR",A &lt;CONTROLLED ACTUATOR&gt; is an &lt;ACTUATOR&gt; and a &lt;FINAL CONTROL FUNCTION&gt; that is remotely operated
actuator,CONTROLLED ACTUATOR,,A physical object for changing a signal into a corresponding movement
MODULATING ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;MODULATING ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that can take any position between the limits
FAIL OPEN ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;FAIL OPEN ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; and a &lt;FAIL OPEN ARTEFACT&gt; that will open the actuated object in case of a failure
FAIL CLOSE ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;FAIL CLOSE ACTUATOR&gt; is a &lt;CONTROLLED ACTUATOR&gt; and a &lt;FAIL CLOSE ARTEFACT&gt; and an &lt;INSTRUMENTATION ITEM&gt; that will close the actuated object in case of a failure
RETURN ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,"A &lt;RETURN ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that after operation, when the trigger signal stops, will return to its original position"
DIGITAL ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;DIGITAL ACTUATOR is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that is controlled by a digital signal
MOTOR ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;MOTOR ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; powered by a motor
PILOT ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;PILOT ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; which operation is controlled by a pilot signal
FAIL LOCKED ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;FAIL LOCKED ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; and a &lt;FAIL LOCKED ARTEFACT&gt;
STEPPING ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;STEPPING ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that can be moved in discrete steps
HYDRAULIC ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;HYDRAULIC ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; and a &lt;HYDRAULICALLY ACTUATED ARTEFACT&gt;
PNEUMATIC ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR, PNEUMATIC APPARATUS",,A &lt;PNEUMATIC ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; and a &lt;PNEUMATIC APPARATUS&gt; that is intended to be operated by pneumatic power
ELECTRIC ACTUATOR,"INSTRUMENTATION ITEM, ELECTRICAL APPARATUS, CONTROLLED ACTUATOR",,An &lt;ELECTRIC ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; and an &lt;ELECTRICAL APPARATUS&gt; and an &lt;ELECTRIC TO MECHANICAL ENERGY CONVERTER&gt; that produces a specified movement when actuated by electrical energy
DIAPHRAGM ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;DIAPHRAGM ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that is using a &lt;DIAPHRAGM&gt;
DOUBLE ACTING ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;DOUBLE ACTING ACTUATOR is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that is able to operate in both directions
SINGLE ACTING ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;SINGLE ACTING ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; that is able to operate in one direction only
TWO CYLINDER ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;TWO CYLINDER ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; which has got two cylinders acting on the actuator driving sleeve creating torque
ONE CYLINDER ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,An &lt;ONE CYLINDER ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; which has got one cylinder acting on the actuator driving sleeve creating torque
PISTON ACTUATOR,"INSTRUMENTATION ITEM, CONTROLLED ACTUATOR",,A &lt;PISTON ACTUATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CONTROLLED ACTUATOR&gt; intended to operate by displacement of a piston by the use of pneumatic or hydraulic energy
