URI,UniqueNumber,UniqueName,Synonym1,Synonym2,TextDefinition,Source,Notes,SuperClass1,SuperClass2,SuperClass3,SuperClass4,SuperClass5,ISO15926-2Entity,Classification1,Classification2,Classification3,Classification4,,"key-1
naming","key-2
references","key-3
source","key-4
classification","key-1
entity",,"Blue
(new)","Yellow
(changed)","Green
(moved)","Red
(deprecated)",,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10_-_50_MILLIAMPERE_DC,24556,10 - 50 MILLIAMPERE DC,,,<10 - 50 MILLIAMPERE DC> is a <Property> with a minimum of 10 mADC and a maximum of 50 mADC,,,Property,,,,,PropertyRange,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10_PT_FONT,24557,10 PT FONT,,,A <10 PT FONT> is a <FONT> with a maximum height of 10/72 inch,,,FONT,,,,,ClassOfInformationPresentation,INFORMATION AND INFORMATION CARRIER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10percent_RADIOGRAPHIC_TESTING,24559,10% RADIOGRAPHIC TESTING,,,<10% RADIOGRAPHIC TESTING> is <RADIOGRAPHIC TESTING> for over 10% of the material,,,RADIOGRAPHIC TESTING,,,,,ClassOfActivity,ACTIVITY OR EVENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10-50_MA_SIGNAL,24560,10-50 mA SIGNAL,,,"A <10-50 mA SIGNAL> is an <ANALOGUE SIGNAL> and an <ELECTRIC SIGNAL> where 10 mADC is representing 0 percent of measurement, 50 mADC is representing 100 percent",,,ANALOGUE SIGNAL,ELECTRIC SIGNAL,,,,ClassOfInformationObject,DOCUMENT AND (RE)PRESENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10-50_MA_SIGNAL_LOOP,24561,10-50 mA SIGNAL LOOP,,,A <10-50 mA SIGNAL LOOP> is an <ANALOG CURRENT LOOP> where 10 mA represents for 0% of the measurement and 50 mA for 100%.,,,ANALOG CURRENT LOOP,,,,,ClassOfInanimatePhysicalObject,ELECTRICAL,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10-50_MA_SIGNAL_LOOP_ELEMENT,24562,10-50 mA SIGNAL LOOP ELEMENT,,,A <10-50 mA SIGNAL LOOP ELEMENT> is an <INSTRUMENTATION ITEM> and a <CURRENT SIGNAL LOOP ELEMENT> that can be installed in a <10-50 mA SIGNAL LOOP>,,,CURRENT SIGNAL LOOP ELEMENT,,,,,ClassOfInanimatePhysicalObject,ELECTRICAL,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/10-CYLINDER_ENGINE,24563,10-CYLINDER ENGINE,,,A <10-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 10 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/12_PT_FONT,24571,12 PT FONT,,,A <12 PT FONT> is a <FONT> with a maximum height of 12/72 inch,,,FONT,,,,,ClassOfInformationPresentation,INFORMATION AND INFORMATION CARRIER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/12-CYLINDER_ENGINE,24576,12-CYLINDER ENGINE,,,A <12-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 12 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/14_-_42_DEGREES_CELSIUS,24606,14 - 42 DEGREES CELSIUS,,,<14 - 42 DEGREES CELSIUS> is a <Property> that is an instance of <PropertyRange>,,,Property,,,,,PropertyRange,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/14_PT_FONT,24607,14 PT FONT,,,A <14 PT FONT> is a <FONT> with a maximum height of 14/72 inch,,,FONT,,,,,ClassOfInformationPresentation,INFORMATION AND INFORMATION CARRIER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/16-CYLINDER_ENGINE,24621,16-CYLINDER ENGINE,,,A <16-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 16 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/16TH_OF_AN_INCH,24623,16TH OF AN INCH,,,A <16TH OF AN INCH> is a <PropertyQuantification> between a <LENGTH> and an <ArithmeticNumber> that is represented with an <ExpressReal> that is within the <NUMBER SPACE OF 0 TO INF>,,,PropertyQuantification,,,,,Scale,UOM (SCALE),,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/18-CYLINDER_ENGINE,24625,18-CYLINDER ENGINE,,,A <18-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 18 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/1-CYLINDER_ENGINE,24460,1-CYLINDER ENGINE,,,A <1-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 1 cylinder,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
