uniqueName,superclasses,subclasses,description
ABSORBER,,"LIQUID ABSORBER, ACOUSTIC NOISE REDUCTION PLATE, SOUND ATTENUATOR, SHOCK ABSORBER",An <ABSORBER> is a <FunctionalObject> that has a capability of <ABSORBING>
ACOUSTIC NOISE REDUCTION PLATE,"SILENCER, ABSORBER",,An <ACOUSTIC NOISE REDUCTION PLATE> is an <ARTEFACT> and an <ABSORBER> and a <SILENCER> that is a building board designed to absorbe and reduce acoustic noise
LIQUID ABSORBER,ABSORBER,absorber column,A <LIQUID ABSORBER> is an <ABSORBER> that has a capability of removing components from a mixture by absorption in a liquid
absorber column,"LIQUID ABSORBER, process column",,A column in which a gas mixture is contacted with a liquid for the purpose of preferentially dissolving one or more components of the gas mixture and to provide a solution of them in the liquid
SHOCK ABSORBER,"DAMPER, ABSORBER","PNEUMATIC SHOCK ABSORBER, HYDRAULIC SHOCK ABSORBER",A <SHOCK ABSORBER> is an <ABSORBER> and a <DAMPER> that serves to absorb mechanical shock and to damp vibration
HYDRAULIC SHOCK ABSORBER,SHOCK ABSORBER,,A <HYDRAULIC SHOCK ABSORBER> is an <ARTEFACT> and a <SHOCK ABSORBER> that uses a cylinder filled with a hydraulic fluid
PNEUMATIC SHOCK ABSORBER,SHOCK ABSORBER,,A <PNEUMATIC SHOCK ABSORBER> is an <ARTEFACT> and a <SHOCK ABSORBER> that uses a cylinder filled with a gas
SOUND ATTENUATOR,"ATTENUATOR, ABSORBER, SILENCER",sound attenuator,A <SOUND ATTENUATOR> is an <ARTEFACT> and a <ABSORBER> and an <ATTENUATOR> and a <SILENCER> that is a chamber with sound absorbing material reducing airborne noise in a ventilation system
sound attenuator,"SOUND ATTENUATOR, damper",,A device decreasing noise in a HVAC system
ACCOMODATOR,,"PIPE EXPANSION ACCOMODATOR, ACCOMODATION CONTAINER",An <ACCOMODATOR> is a <FunctionalObject> that is capable of <ACCOMODATING>
ACCOMODATION CONTAINER,ACCOMODATOR,ACCOMODATION CONTAINER NORSOK Z-015,An <ACCOMODATION CONTAINER> is a <SERVICE CONTAINER> and an <ACCOMODATOR> that is intended to be an <ACCOMODATION>
ACCOMODATION CONTAINER NORSOK Z-015,ACCOMODATION CONTAINER,,"An <ACCOMODATION CONTAINER NORSOK Z-015> is an <ACCOMODATION CONTAINER> and a <CONTAINER NORSOK Z-015> conforming to the requirements for accomodations containers defined in NORSOK Z-015, Section 4.2.1"
PIPE EXPANSION ACCOMODATOR,ACCOMODATOR,"SLIDING SLEEVE AND ANCHOR, PIPING BELLOWS UNIT",A <PIPE EXPANSION ACCOMODATOR> is an <ACCOMODATOR> capable of <ACCOMODATING> the movement in piping systems due to temperature changes and vibrations
PIPING BELLOWS UNIT,"PIPE EXPANSION ACCOMODATOR, COMPENSATOR","AXIAL PIPING BELLOWS UNIT, ARTICULATED BELLOWS UNIT",A <PIPING BELLOWS UNIT> is a <BELLOWS UNIT> and a <COMPENSATOR> and a <PIPE EXPANSION ACCOMODATOR>
SLIDING SLEEVE AND ANCHOR,PIPE EXPANSION ACCOMODATOR,,A <SLIDING SLEEVE AND ANCHOR> is an <ARTEFACT> and a <PIPE EXPANSION ACCOMODATOR> that consists of two pieces; one sliding inside the other. The outer is fixed to a support
ACCREDITOR,,ACCREDITATION BODY,An <ACCREDITOR> is a <FunctionalObject> that has the capability of <ACCREDITING>
ACCREDITATION BODY,"ACCREDITOR, REGULATORY BODY",,"An <ACCREDITATION BODY> is a <REGULATORY BODY> and an <ACCREDITOR> that checks certification bodies and, provided their certification assessment processes pass muster, accredits them i.e. grants them the authority to issue recognized certificates"
ACCUMULATOR,,"FLUID ACCUMULATOR, ELECTRIC ACCUMULATOR, accumulator",An <ACCUMULATOR> is a <FunctionalObject> that has a capability of <ACCUMULATING> matter and/or energy
ELECTRIC ACCUMULATOR,"ACCUMULATOR, ENERGY STORAGE","ELECTRIC BATTERY, ELECTRIC BATTERY BANK, ELECTRIC BATTERY CELL",An <ELECTRIC ACCUMULATOR> is an <ACCUMULATOR> and an <ENERGY STORAGE> that converts chemical energy into electrical energy by reversible chemical reactions and that may be recharged by passing a current through it in the direction opposite to that of its discharge
ELECTRIC BATTERY BANK,ELECTRIC ACCUMULATOR,,An <ELECTRIC BATTERY BANK> is an <ARTEFACT> and an <ELECTRIC ACCUMULATOR> that consisting of a number of electric batteries connected together to store and supply electrical energy
ELECTRIC BATTERY,ELECTRIC ACCUMULATOR,,An <ELECTRIC BATTERY> is an <ARTEFACT> and an <ELECTRIC ACCUMULATOR> that comprises one or more <ELECTRIC BATTERY CELL>s
ELECTRIC BATTERY CELL,ELECTRIC ACCUMULATOR,,"An <ELECTRIC BATTERY CELL> is an <ARTEFACT> and an <ELECTRIC ACCUMULATOR> and that is a single electrochemical system, consisting of positive and negative electrodes and an electrolyte to transport ions between them"
FLUID ACCUMULATOR,"FLUID CONTAINER, ACCUMULATOR",HYDRAULIC ACCUMULATOR,A <FLUID ACCUMULATOR> is an <ACCUMULATOR> and a <FLUID CONTAINER> that has a capability of of acting like a shock absorber in that it absorbs and/or accumulates pressure fluctuations in a device or a closed <FLUID> system
HYDRAULIC ACCUMULATOR,FLUID ACCUMULATOR,,"A <HYDRAULIC ACCUMULATOR> is a <FLUID ACCUMULATOR> intended to absorb and store hydraulic liquid to compensate for pressure fluctuations and to maintain operation, e.g. of an actuator, in case of failure of supply of the hydraulic liquid"
accumulator,ACCUMULATOR,,"A physical object for storing energy, and which after discharge may be recharged"
ACTUATOR,,"CONTROLLED ACTUATOR, PART TURN ACTUATOR, WEIGHT ACTUATOR, MANUAL ACTUATOR, CIRCUIT BREAKER TRIP MECHANISM, ON-OFF ACTUATOR, ACTUATOR WITH MANUAL RESET, RACK AND PINION ACTUATOR, FLANGE MOUNTED ACTUATOR, FIRE ALARM BUTTON, FULL-TURN ACTUATOR, ROTARY ACTUATOR, WINDING GEAR, LINEAR ACTUATOR",An <ACTUATOR> is a <FunctionalObject> that is capable of <ACTUATING>
ACTUATOR WITH MANUAL RESET,ACTUATOR,,An <ACTUATOR WITH MANUAL RESET> is an <ARTEFACT> and an <ACTUATOR> that has to be reset manually after having been in operation
CIRCUIT BREAKER TRIP MECHANISM,ACTUATOR,,A <CIRCUIT BREAKER TRIP MECHANISM> is an <ARTEFACT> and an <ACTUATOR> that trips a <CIRCUIT BREAKER>
CONTROLLED ACTUATOR,"FINAL CONTROL FUNCTION, ACTUATOR","DIGITAL ACTUATOR, PISTON ACTUATOR, MODULATING ACTUATOR, MOTOR ACTUATOR, actuator, ELECTRIC ACTUATOR, PILOT ACTUATOR, FAIL CLOSE ACTUATOR, SINGLE ACTING ACTUATOR, DOUBLE ACTING ACTUATOR, RETURN ACTUATOR, FAIL OPEN ACTUATOR, STEPPING ACTUATOR, TWO CYLINDER ACTUATOR, FAIL LOCKED ACTUATOR, ONE CYLINDER ACTUATOR, HYDRAULIC ACTUATOR, PNEUMATIC ACTUATOR, MAGNETIC ACTUATOR, DIAPHRAGM ACTUATOR, CONTROLLED VALVE ACTUATOR",A <CONTROLLED ACTUATOR> is an <ACTUATOR> and a <FINAL CONTROL FUNCTION> that is remotely operated
actuator,CONTROLLED ACTUATOR,,A physical object for changing a signal into a corresponding movement
MODULATING ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <MODULATING ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that can take any position between the limits
FAIL OPEN ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <FAIL OPEN ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> and a <FAIL OPEN ARTEFACT> that will open the actuated object in case of a failure
FAIL CLOSE ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <FAIL CLOSE ACTUATOR> is a <CONTROLLED ACTUATOR> and a <FAIL CLOSE ARTEFACT> and an <INSTRUMENTATION ITEM> that will close the actuated object in case of a failure
RETURN ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,"A <RETURN ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that after operation, when the trigger signal stops, will return to its original position"
DIGITAL ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <DIGITAL ACTUATOR is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that is controlled by a digital signal
MOTOR ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <MOTOR ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> powered by a motor
PILOT ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <PILOT ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> which operation is controlled by a pilot signal
FAIL LOCKED ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <FAIL LOCKED ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> and a <FAIL LOCKED ARTEFACT>
STEPPING ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <STEPPING ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> that can be moved in discrete steps
HYDRAULIC ACTUATOR,"CONTROLLED ACTUATOR, INSTRUMENTATION ITEM",,A <HYDRAULIC ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> and a <HYDRAULICALLY ACTUATED ARTEFACT>
PNEUMATIC ACTUATOR,"CONTROLLED ACTUATOR, PNEUMATIC APPARATUS, INSTRUMENTATION ITEM",,A <PNEUMATIC ACTUATOR> is an <INSTRUMENTATION ITEM> and a <CONTROLLED ACTUATOR> and a <PNEUMATIC APPARATUS> that is intended to be operated by pneumatic power
