UniqueNameLabel,SubClassLabel
ABSORBER,ACOUSTIC NOISE REDUCTION PLATE
ABSORBER,LIQUID ABSORBER
ABSORBER,SHOCK ABSORBER
ABSORBER,SOUND ATTENUATOR
ACCOMODATOR,ACCOMODATION CONTAINER
ACCOMODATOR,PIPE EXPANSION ACCOMODATOR
ACCREDITOR,ACCREDITATION BODY
ACCUMULATOR,ELECTRIC ACCUMULATOR
ACCUMULATOR,FLUID ACCUMULATOR
ACCUMULATOR,FLUID ACCUMULATOR (RETIRED)
ACCUMULATOR,accumulator
ACTUATOR,ACTUATOR WITH MANUAL RESET
ACTUATOR,CIRCUIT BREAKER TRIP MECHANISM
ACTUATOR,CONTROLLED ACTUATOR
ACTUATOR,EMERGENCY RELEASE BOX
ACTUATOR,EMERGENCY SHUT DOWN STATION
ACTUATOR,FIRE ALARM BUTTON
ACTUATOR,FLANGE MOUNTED ACTUATOR
ACTUATOR,FULL-TURN ACTUATOR
ACTUATOR,LINEAR ACTUATOR
ACTUATOR,MANUAL ACTUATOR
ACTUATOR,ON-OFF ACTUATOR
ACTUATOR,PART TURN ACTUATOR
ACTUATOR,RACK AND PINION ACTUATOR
ACTUATOR,ROTARY ACTUATOR
ACTUATOR,WEIGHT ACTUATOR
ACTUATOR,WINDING GEAR
ADDRESSER,ADDRESSABLE FIRE ALARM BUTTON
AERATOR,AERATION BASIN
AERATOR,AIR GRID
AERATOR,FLUIDISATION RING
AERATOR,PREFLUIDISATION RING
AERATOR,aerator
AGGLOMERATOR,RECIPROCATING PRESSURE AGGLOMERATOR
AGGLOMERATOR,ROTATING GROWTH AGGLOMERATOR
AGGLOMERATOR,ROTATING PRESSURE AGGLOMERATOR
AIR HANDLER,AIR HANDLING UNIT
AMPLIFIER,BUFFER AMPLIFIER
AMPLIFIER,PNEUMATIC AMPLIFIER
AMPLIFIER,PREAMPLIFIER
AMPLIFIER,REPEATER
AMPLIFIER,SIGNAL AMPLIFIER
AMPLIFIER,amplifier
APPROVER,
ARRESTOR,BUCKLE ARRESTOR
ARRESTOR,FALL ARRESTOR
ARRESTOR,FLAME ARRESTOR
ARRESTOR,LOCK
ARRESTOR,LOCK AND DOOR CLOSER ASSEMBLY
ARRESTOR,SPARK ARRESTOR
ARRESTOR,arrestor
ATOMISER,
ATTENUATOR,SOUND ATTENUATOR
ATTENUATOR,TELECOMMUNICATIONS ATTENUATOR
AUTHOR,
BALANCER,AIR BALANCING UNIT
BALANCER,BALANCE COUNTER DISC
BALANCER,BALANCE DISC
BALANCER,BALANCING BUS
BALANCER,BALANCING GEAR
BALANCER,BALANCING RING
BALANCER,BALANCING WEIGHT
BALANCER,COUNTERWEIGHT
BALANCER,PRESSURE BALANCING TUBE
BALANCER,THRUST BALANCE ASSEMBLY
BENDER,BENDING MACHINE
BENDER,PIPE BENDER
BLOCKER,BARRIER
BLOCKER,BLOCKING MECHANISM
BLOCKER,LINE BLIND
BLOCKER,PLUG
BLOCKER,PLUG AND CHAIN ASSEMBLY
BLOCKER,SCREEN
BLOCKER,SEAL PAN
BLOCKER,SHAFT KEY
BLOCKER,SLUICE
BLOCKER,SPADE
BLOWER,AIR BLOWER
BLOWER,AXIAL BLOWER
BLOWER,CENTRIFUGAL BLOWER
BLOWER,blower
BRAKE,AUXILIARY BRAKE
BRAKE,BRAKE UNIT
BRAKE,ELECTRIC BRAKE
BRAKE,ELECTROMAGNETIC BRAKE
BRAKE,MECHANICAL BRAKE
BRAKE,brake
BREATHER,BREATHING APPARATUS
BREATHER,DEHYDRATING BREATHER
BREATHER,VENT HEAD
BRIDGE,MOVABLE BRIDGE
BRIDGE,SUSPENSION BRIDGE
BRIDGE,bridge
BURNER,COAL BURNER
BURNER,DUAL FUEL BURNER ELEMENT
BURNER,FLARE
BURNER,FLARE TIP
BURNER,IGNITION BURNER
BURNER,LINE BURNER
BURNER,LOW-NOX BURNER
BURNER,MAIN BURNER
BURNER,OPEN BURNER
BURNER,PREMIX BURNER
BURNER,RAW-GAS BURNER
BURNER,START UP BURNER
BURNER,SWIRL BURNER
BURNER,WASTE-GAS BURNER
BURNER,combination
BURNER,nozzle
BURNER ELEMENT,FUEL GAS BURNER ELEMENT
BURNER ELEMENT,FUEL OIL BURNER ELEMENT
BUYER(function),
CABLE ENTRY,CABLE ENTRY 8 - 17 MM
